"C_U_21_components"
"Iteration" "df-body etc.."
("Iteration" "df-body" "df-diffuser" "df-front_wheel" "df-front_wing" "df-nose" "df-rear_wheel" "df-rear_wing" "df-sidepod" "df-suspension" "drag-body" "drag-diffuser" "drag-front_wheel" "drag-front_wing" "drag-nose" "drag-rear_wheel" "drag-rear_wing" "drag-sidepod" "drag-suspension" "df-fw-1" "df-fw-2" "df-fw-3" "df-fw-4" "df-fw-e" "df-s-wlot" "df-s-1" "df-s-2" "df-s-e" "df-rw-1" "df-rw-2" "df-rw-3" "df-rw-4" "df-rw-e" "drag-fw-1" "drag-fw-2" "drag-fw-3" "drag-fw-4" "drag-fw-e" "drag-s-wlot" "drag-s-1" "drag-s-2" "drag-s-e" "drag-rw-1" "drag-rw-2" "drag-rw-3" "drag-rw-4" "drag-rw-e")
34 -3.344804 35.05112 -2.108845 76.29763 -3.450837 -1.723827 88.70245 34.28776 -1.155685 32.11851 7.289733 8.294716 15.71292 4.576389 6.135294 44.03776 17.59264 3.936066 42.00788 22.95753 6.937488 2.571606 1.823123 -5.735048 25.74036 2.50844 12.9297 57.90968 25.04712 3.706506 6.279403 -4.240254 0.829151 6.097419 4.212987 2.509269 2.064096 -1.289637 6.233464 1.83253 6.880221 6.466041 20.02486 9.466758 3.658631 4.421484
35 -3.323026 34.95917 -2.084223 76.24306 -3.44487 -1.731735 88.50198 34.07169 -1.14467 31.71509 7.18115 8.189672 15.54616 4.542092 6.036197 43.69166 17.26416 3.90485 41.99695 22.92093 6.94076 2.569334 1.815074 -5.756189 25.65228 2.483786 12.83648 57.84429 25.0513 3.693821 6.139712 -4.227149 0.7713311 6.05621 4.191752 2.495246 2.031622 -1.409238 6.167407 1.80982 6.791319 6.39688 19.99986 9.411887 3.57927 4.303774
36 -3.294554 34.88609 -2.059593 76.18471 -3.438097 -1.738421 88.32942 33.88347 -1.133333 31.33544 7.079219 8.091446 15.38915 4.509481 5.946652 43.37143 16.95001 3.875427 41.98251 22.88251 6.945068 2.567317 1.807291 -5.775632 25.5771 2.462411 12.75292 57.78795 25.05745 3.682811 6.014647 -4.213442 0.716445 6.016982 4.172153 2.48226 2.001312 -1.525089 6.106988 1.789315 6.703372 6.331684 19.97861 9.360863 3.507465 4.192823
37 -3.261497 34.83198 -2.034943 76.12423 -3.430708 -1.744143 88.18396 33.72501 -1.122037 30.97848 6.983524 7.998004 15.24083 4.478487 5.865778 43.07563 16.65139 3.84766 41.96639 22.84223 6.950224 2.565444 1.799929 -5.793654 25.51535 2.444202 12.68115 57.74333 25.06688 3.673582 5.900443 -4.200276 0.6642466 5.979565 4.153993 2.470141 1.972889 -1.636536 6.05252 1.770914 6.616832 6.270971 19.96173 9.31398 3.441027 4.087935
38 -3.226545 34.79745 -2.0101 76.06448 -3.422995 -1.748714 88.06425 33.59694 -1.111166 30.64283 6.893876 7.906974 15.10028 4.44904 5.793209 42.80233 16.37005 3.821344 41.95105 22.80047 6.956144 2.563714 1.793094 -5.810646 25.46732 2.428783 12.62265 57.71272 25.08079 3.666098 5.793132 -4.188485 0.6144918 5.943753 4.137105 2.458782 1.946147 -1.742213 6.004131 1.754324 6.532459 6.214896 19.94976 9.27144 3.37773 3.988514
39 -3.192388 34.78174 -1.984739 76.00907 -3.415148 -1.75192 87.9696 33.49814 -1.101016 30.32715 6.810182 7.816379 14.96662 4.421098 5.728319 42.55009 16.10714 3.796255 41.93923 22.75803 6.962747 2.562147 1.786906 -5.82687 25.43226 2.415552 12.57821 57.69719 25.09976 3.660241 5.690978 -4.178565 0.5669478 5.909303 4.121363 2.448104 1.920905 -1.840939 5.961592 1.739144 6.451091 6.1634 19.94283 9.23332 3.316515 3.894036
40 -3.160077 34.78307 -1.958647 75.963 -3.407295 -1.753893 87.89836 33.42771 -1.091665 30.03025 6.732313 7.725235 14.83926 4.394608 5.670022 42.31755 15.86371 3.772191 41.93423 22.71633 6.970126 2.560794 1.781507 -5.842517 25.40946 2.40388 12.54856 57.69506 25.12329 3.655783 5.594828 -4.170607 0.5213755 5.876057 4.10676 2.438061 1.897009 -1.931629 5.924613 1.724989 6.373547 6.116101 19.94034 9.199343 3.257657 3.804118
41 -3.129056 34.79772 -1.931917 75.93202 -3.399777 -1.755093 87.84721 33.38446 -1.083144 29.75074 6.660003 7.633281 14.71791 4.369561 5.617614 42.1029 15.63994 3.748976 41.9394 22.67752 6.978305 2.559739 1.777041 -5.857595 25.39803 2.393159 12.53401 57.70227 25.15001 3.65242 5.506884 -4.164372 0.477546 5.844027 4.09332 2.428648 1.874366 -2.013764 5.892774 1.711511 6.300441 6.072256 19.94113 9.168918 3.202062 3.718544
42 -3.098867 34.82251 -1.905029 75.92177 -3.392901 -1.756062 87.81246 33.36707 -1.075554 29.48714 6.592785 7.541663 14.60241 4.345945 5.570508 41.90383 15.43493 3.726445 41.95787 22.64408 6.987078 2.559047 1.773679 -5.872042 25.39743 2.382946 12.53429 57.7149 25.17821 3.649846 5.429101 -4.159601 0.4351912 5.81341 4.081027 2.41987 1.852915 -2.087876 5.865675 1.698453 6.232227 6.030951 19.94387 9.141351 3.150552 3.637119
43 -3.069644 34.85283 -1.877947 75.9366 -3.386751 -1.757169 87.79064 33.37259 -1.068949 29.2379 6.530075 7.452757 14.49291 4.323723 5.527761 41.71794 15.24609 3.704463 41.99164 22.61833 6.996245 2.558805 1.771569 -5.885847 25.40639 2.372948 12.54804 57.73064 25.20647 3.647774 5.362014 -4.15626 0.3940765 5.784551 4.069915 2.41177 1.832602 -2.155551 5.842523 1.68564 6.169014 5.991543 19.94745 9.115941 3.10345 3.559564
