"C_U_21_massflow"
"Iteration" "floor-1 etc.."
("Iteration" "floor-1" "floor-2" "d-in" "d-out" "s-up-out" "s-up-in" "s-center-out" "s-center-in" "s-bottom-out" "s-bottom-in" "s-floor-endplate" "s-floor-out" "s-floor-center" "s-floor-in" "fwheel-up-out" "fwheel-up-center" "fwheel-up-in" "fwheel-center-out" "fwheel-center-center" "fwheel-center-in" "fwheel-bot-out" "fwheel-bot-center" "fwheel-bot-in" "outisde-up-out" "outside-up-center" "outside-up-in" "outside-center-out" "outside-center-center" "outside-center-in" "outside-bot-out" "outside-bot-center" "outside-bot-in" "rwheel-up-out" "rwheel-up-center" "rhweel-up-in" "rwheel-center-out" "rwheel-center-center" "rwheel-center-in" "rwheel-bot-out" "rwheel-bot-center")
982 -0.2626142 -0.2058118 -0.4872061 0.6484366 0.05450589 0.04466809 -0.002363325 0.03192426 0.02655781 0.05011157 0.06839641 -0.07895631 -0.1066863 -0.179972 -0.174989 -0.1761511 -0.1896321 -0.1297489 -0.1488703 -0.1631014 -0.1289988 -0.2130404 -0.2008173 -0.1898393 -0.1834119 -0.07894531 -0.1975949 -0.2097039 -0.1870348 -0.2224252 -0.2239906 -0.2301471 -0.05297688 -0.01774475 -0.02866685 -0.04167227 -0.02047119 -0.06167559 -0.06844874 -0.1051043
983 -0.2626249 -0.2058152 -0.4872742 0.6486325 0.05451421 0.0446687 -0.002290767 0.03186128 0.02659082 0.05001941 0.06843689 -0.07898604 -0.106723 -0.1799823 -0.1749898 -0.1761393 -0.189586 -0.1297208 -0.1488729 -0.1630495 -0.1290503 -0.2130665 -0.2008107 -0.1898637 -0.1833925 -0.07906109 -0.1975902 -0.2097033 -0.1871425 -0.2224272 -0.2239941 -0.2301569 -0.05291602 -0.01779452 -0.02871542 -0.04171054 -0.02039841 -0.06153759 -0.0685991 -0.1049721
984 -0.2626349 -0.2058189 -0.4873487 0.6488358 0.05451915 0.04467326 -0.002235444 0.03181605 0.02663648 0.04992032 0.06847349 -0.07902081 -0.1067618 -0.179989 -0.1749904 -0.176125 -0.189541 -0.1296899 -0.1488763 -0.1630084 -0.1291024 -0.2130932 -0.2008056 -0.1898868 -0.1833716 -0.0791682 -0.1975851 -0.2097008 -0.1872487 -0.2224288 -0.2239967 -0.2301652 -0.05285047 -0.01784075 -0.0287573 -0.04174448 -0.02032194 -0.06139728 -0.06874369 -0.1048443
985 -0.2626438 -0.2058226 -0.4874296 0.6490467 0.05452155 0.04468035 -0.002199668 0.0317894 0.02669227 0.04982025 0.06850645 -0.07905951 -0.1068012 -0.1799918 -0.174991 -0.1761089 -0.1894993 -0.1296569 -0.1488805 -0.1629786 -0.129154 -0.2131197 -0.2008019 -0.1899084 -0.183348 -0.07926531 -0.1975794 -0.2096961 -0.1873533 -0.2224298 -0.2239984 -0.2301721 -0.05278091 -0.01787907 -0.02879611 -0.04177578 -0.02024398 -0.06125512 -0.06888226 -0.1047224
986 -0.2626511 -0.205826 -0.4875166 0.6492634 0.05452183 0.04468874 -0.002185108 0.03178089 0.02675561 0.04972513 0.06853611 -0.07910098 -0.1068388 -0.1799907 -0.1749919 -0.1760916 -0.1894631 -0.1296227 -0.1488854 -0.1629599 -0.1292035 -0.2131455 -0.2007995 -0.1899285 -0.1833207 -0.07935156 -0.1975728 -0.2096888 -0.1874561 -0.2224302 -0.2239992 -0.2301777 -0.05271094 -0.01791009 -0.02883458 -0.04180566 -0.02016515 -0.06111124 -0.06901451 -0.1046072
987 -0.2626567 -0.2058288 -0.4876086 0.6494846 0.05452041 0.04469689 -0.002192551 0.03178873 0.02682395 0.04964029 0.06856291 -0.07914401 -0.1068726 -0.1799864 -0.1749935 -0.176074 -0.1894342 -0.1295883 -0.1488907 -0.1629514 -0.1292497 -0.2131701 -0.2007986 -0.189947 -0.1832889 -0.0794264 -0.1975654 -0.2096788 -0.187557 -0.22243 -0.2239991 -0.2301826 -0.05264172 -0.01793599 -0.02886925 -0.04183337 -0.02008439 -0.06096576 -0.0691399 -0.104499
988 -0.2626604 -0.2058308 -0.4877055 0.6497086 0.05451709 0.04470305 -0.002221328 0.0318098 0.02689365 0.04957134 0.06858721 -0.07918734 -0.1069013 -0.1799795 -0.1749961 -0.1760567 -0.1894141 -0.1295546 -0.1488963 -0.1629516 -0.1292911 -0.2131926 -0.2007989 -0.1899641 -0.1832523 -0.07948955 -0.1975571 -0.2096661 -0.1876557 -0.2224292 -0.223998 -0.2301867 -0.05257124 -0.017955 -0.02889685 -0.04185849 -0.02000216 -0.06081932 -0.06925804 -0.1043987
989 -0.2626622 -0.2058319 -0.4878067 0.6499344 0.05451279 0.04470589 -0.002268861 0.0318406 0.02696221 0.04952153 0.0686093 -0.07922975 -0.1069228 -0.1799711 -0.1749999 -0.1760404 -0.1894033 -0.1295221 -0.1489021 -0.1629592 -0.129326 -0.2132124 -0.2008004 -0.1899798 -0.1832104 -0.07954092 -0.1975479 -0.2096506 -0.1877519 -0.2224277 -0.2239961 -0.2301903 -0.05249982 -0.0179637 -0.02891919 -0.04188209 -0.01992016 -0.06067228 -0.06936888 -0.1043072
990 -0.2626622 -0.2058319 -0.4879116 0.6501616 0.05450793 0.04470379 -0.002331323 0.03187717 0.02702745 0.049493 0.06862938 -0.07927009 -0.1069363 -0.1799618 -0.175005 -0.1760258 -0.1894014 -0.1294913 -0.1489079 -0.1629725 -0.1293536 -0.2132289 -0.2008031 -0.1899941 -0.1831633 -0.0795809 -0.1975379 -0.2096326 -0.1878453 -0.2224257 -0.2239933 -0.2301935 -0.05242982 -0.01796178 -0.02893823 -0.04190467 -0.0198388 -0.06052477 -0.06947258 -0.1042251
991 -0.2626604 -0.2058307 -0.4880196 0.6503888 0.05450362 0.04469522 -0.002403716 0.03191631 0.02708687 0.04948607 0.06864778 -0.07930729 -0.1069413 -0.1799528 -0.1750118 -0.1760135 -0.1894077 -0.1294622 -0.1489134 -0.1629901 -0.129373 -0.213242 -0.2008069 -0.1900073 -0.1831112 -0.07961001 -0.1975272 -0.2096121 -0.1879354 -0.2224232 -0.2239899 -0.2301964 -0.05236223 -0.01795142 -0.02895113 -0.04192557 -0.01975741 -0.06037705 -0.06956892 -0.1041523
